Trial,Direction,Start Frame,End Frame
1,Centre,0,11
1,Left,12,44
1,Right,45,66
1,Left,67,80
1,Ambig/Other,81,119
1,Left,120,135
1,Right,136,147
1,Left,148,159
2,Ambig/Other,0,1
2,Offscreen,2,18
2,Left,19,119
2,Right,120,152
2,Left,153,160
3,Offscreen,0,11
3,Right,12,47
3,Left,48,143
3,Right,144,157
4,Offscreen,0,20
4,Left,21,35
4,Right,36,47
4,Ambig/Other,48,56
4,Offscreen,57,92
4,Right,93,107
4,Left,108,116
4,Ambig/Other,117,136
4,Right,137,140
4,Left,141,160
5,Offscreen,0,11
5,Ambig/Other,12,28
5,Left,31,35
5,Right,36,40
5,Offscreen,43,158
6,Ambig/Other,0,13
6,Left,14,37
6,Right,36,71
6,Left,78,143
6,Right,144,159
7,Offscreen,0,6
7,Ambig/Other,7,30
7,Left,31,35
7,Right,36,40
7,Offscreen,41,158
8,Ambig/Other,0,15
8,Left,16,34
8,Right,35,42
8,Offscreen,43,121
8,Right,122,133
8,Left,134,160
9,Offscreen,0,30
9,Ambig/Other,31,35
9,Right,36,56
9,Left,57,64
9,Offscreen,65,83
9,Ambig/Other,84,100
9,Offscreen,106,107
9,Left,108,119
9,Right,120,155
9,Left,156,162
10,Ambig/Other,0,11
10,Right,12,57
10,Left,58,134
10,Right,135,158
