Trial,Direction,Start Frame,End Frame
1,Ambig/Other,0,8
1,Left,9,15
1,Right,16,32
1,Left,33,46
1,Right,47,68
1,Left,69,73
1,Right,74,87
1,Ambig/Other,86,92
1,Right,93,97
1,Offscreen,98,159
2,Centre,0,6
2,Left,7,11
2,Right,12,23
2,Left,24,71
2,Right,72,92
2,Left,93,124
2,Right,125,134
2,Left,135,158
3,Offscreen,0,21
3,Right,22,33
3,Left,34,37
3,Offscreen,38,160
4,Ambig/Other,0,1
4,Offscreen,2,119
4,Ambig/Other,120,146
4,Offscreen,147,155
5,Offscreen,0,160
6,Offscreen,0,13
6,Left,14,18
6,Ambig/Other,19,25
6,Ambig/Other,26,28
6,Offscreen,29,80
6,Ambig/Other,81,90
6,Offscreen,91,128
6,Ambig/Other,129,133
6,Left,134,148
6,Offscreen,149,157
7,Centre,0,1
7,Offscreen,2,73
7,Ambig/Other,74,78
7,Right,79,83
7,Ambig/Other,84,131
7,Offscreen,132,158
8,Offscreen,0,153
8,Ambig/Other,154,157
9,Offscreen,0,11
9,Left,12,23
9,Right,24,40
9,Offscreen,41,52
9,Right,53,105
9,Left,106,119
9,Ambig/Other,120,129
9,Offscreen,130,160
10,Offscreen,0,157
