Trial,Direction,Start Frame,End Frame
1,Ambig/Other,0,2
1,Right,3,33
1,Offscreen,34,52
1,Left,53,83
1,Ambig/Other,84,159
2,Offscreen,0,3
2,Right,4,15
2,Left,16,34
2,Offscreen,35,45
2,Right,46,85
2,Left,86,97
2,Right,98,120
2,Left,121,146
2,Offscreen,147,160
3,Ambig/Other,0,5
3,Left,6,39
3,Right,40,125
3,Offscreen,126,159
4,Centre,0,5
4,Right,6,30
4,Left,31,43
4,Right,44,78
4,Left,79,106
4,Offscreen,107,116
4,Left,117,129
4,Right,130,140
4,Offscreen,141,144
4,Right,145,159
5,Offscreen,0,8
5,Left,9,23
5,Right,24,50
5,Offscreen,51,159
6,Offscreen,0,10
6,Left,11,35
6,Right,36,43
6,Offscreen,44,150
6,Right,151,155
6,Left,156,157
7,Offscreen,0,3
7,Ambig/Other,4,9
7,Right,10,18
7,Offscreen,19,64
7,Ambig/Other,65,70
7,Offscreen,71,114
7,Left,115,127
7,Ambig/Other,128,140
7,Right,141,150
7,Ambig/Other,151,159
8,Centre,0,2
8,Offscreen,3,126
8,Left,127,145
8,Right,146,155
8,Ambig/Other,156,159
9,Offscreen,0,10
9,Right,11,32
9,Left,33,41
9,Offscreen,42,56
9,Ambig/Other,57,63
9,Offscreen,64,138
9,Left,139,152
9,Ambig/Other,153,155
9,Offscreen,156,159
10,Offscreen,0,8
10,Right,9,35
10,Left,36,42
10,Offscreen,43,56
10,Left,57,59
10,Right,60,78
10,Offscreen,79,83
10,Right,84,92
10,Offscreen,93,100
10,Ambig/Other,101,109
10,Offscreen,110,131
10,Ambig/Other,132,140
10,Right,141,145
10,Left,146,148
10,Offscreen,149,157
