Trial,Direction,Start Frame,End Frame
1,Offscreen,0,4
1,Ambig/Other,5,28
1,Offscreen,29,169
2,Offscreen,0,12
2,Right,13,31
2,Left,32,42
2,Offscreen,43,158
3,Ambig/Other,0,12
3,Left,13,17
3,Right,18,93
3,Left,94,142
3,Offscreen,143,158
4,Offscreen,0,127
4,Right,128,140
4,Left,141,153
4,Right,154,159
4,Ambig/Other,160,162
5,Centre,0,4
5,Left,5,15
5,Right,16,23
5,Left,24,44
5,Offscreen,45,161
6,Ambig/Other,0,4
6,Left,5,9
6,Right,10,20
6,Offscreen,21,66
6,Right,67,74
6,Left,75,82
6,Offscreen,81,128
6,Ambig/Other,129,133
6,Left,134,139
6,Ambig/Other,140,153
6,Right,154,161
7,Offscreen,0,2
7,Left,3,13
7,Right,14,24
7,Offscreen,25,132
7,Ambig/Other,133,143
7,Offscreen,144,161
8,Centre,0,4
8,Right,5,20
8,Offscreen,21,158
9,Centre,0,2
9,Offscreen,3,24
9,Right,25,46
9,Ambig/Other,47,62
9,Offscreen,63,116
9,Left,117,132
9,Right,133,140
9,Ambig/Other,141,157
10,Centre,0,1
10,Right,2,9
10,Ambig/Other,10,14
10,Offscreen,15,37
10,Right,38,47
10,Offscreen,48,158
