Trial,Direction,Start Frame,End Frame
1,Offscreen,0,17
1,Right,18,46
1,Left,47,65
1,Offscreen,66,118
1,Ambig/Other,119,125
1,Offscreen,127,145
1,Right,146,157
1,Ambig/Other,158,160
2,Offscreen,0,14
2,Left,15,30
2,Right,27,37
2,Offscreen,38,123
2,Left,124,142
2,Right,143,152
2,Left,152,161
3,Offscreen,0,10
3,Left,11,67
3,Offscreen,68,98
3,Right,99,147
3,Ambig/Other,148,159
4,Offscreen,0,91
4,Right,92,106
4,Offscreen,107,158
5,Offscreen,0,49
5,Left,50,55
5,Offscreen,56,160
6,Offscreen,0,161
7,Offscreen,0,159
8,Offscreen,0,65
8,Right,66,80
8,Offscreen,81,160
9,Offscreen,0,42
9,Right,43,62
9,Offscreen,58,160
10,Centre,0,6
10,Right,7,18
10,Offscreen,19,64
10,Right,65,75
10,Offscreen,76,90
10,Left,88,98
10,Offscreen,99,117
10,Left,118,123
10,Offscreen,124,151
10,Ambig/Other,152,161
