Trial,Direction,Start Frame,End Frame
1,Offscreen,0,7
1,Left,8,24
1,Right,25,47
1,Left,48,66
1,Right,67,106
1,Left,107,113
1,Right,114,138
1,Left,139,152
1,Ambig/Other,153,159
2,Ambig/Other,0,5
2,Right,6,9
2,Left,10,22
2,Right,23,51
2,Ambig/Other,52,58
2,Offscreen,59,125
2,Right,126,148
2,Left,149,159
3,Centre,0,5
3,Right,6,22
3,Offscreen,23,85
3,Left,86,106
3,Right,107,131
3,Left,132,140
3,Right,141,159
4,Centre,0,3
4,Left,4,26
4,Right,27,50
4,Offscreen,51,159
5,Centre,0,10
5,Right,11,35
5,Left,36,41
5,Offscreen,42,81
5,Left,82,104
5,Right,105,110
5,Ambig/Other,111,130
5,Offscreen,131,161
6,Centre,0,12
6,Left,13,33
6,Right,34,42
6,Offscreen,40,98
6,Ambig/Other,99,128
6,Offscreen,129,159
7,Left,0,16
7,Right,17,35
7,Ambig/Other,34,51
7,Offscreen,52,87
7,Ambig/Other,88,119
7,Offscreen,120,152
7,Ambig/Other,153,159
8,Ambig/Other,0,1
8,Left,2,13
8,Ambig/Other,14,23
8,Right,24,32
8,Ambig/Other,33,51
8,Left,52,75
8,Right,76,80
8,Offscreen,81,97
8,Left,98,109
8,Offscreen,110,157
9,Centre,0,4
9,Right,5,22
9,Offscreen,23,160
10,Offscreen,0,11
10,Left,12,20
10,Offscreen,21,30
10,Right,31,39
10,Ambig/Other,40,42
10,Offscreen,43,75
10,Right,76,85
10,Ambig/Other,86,95
10,Left,96,109
10,Offscreen,110,157
