Trial,Direction,Start Frame,End Frame
1,Ambig/Other,0,2
1,Offscreen,3,94
1,Ambig/Other,95,109
1,Left,109,113
1,Right,114,143
1,Ambig/Other,144,153
1,Offscreen,154,159
2,Offscreen,0,79
2,Ambig/Other,80,88
2,Offscreen,89,160
3,Offscreen,0,2
3,Right,3,8
3,Offscreen,9,15
3,Left,16,22
3,Right,23,27
3,Ambig/Other,28,37
3,Offscreen,38,46
3,Right,47,49
3,Offscreen,50,121
3,Right,122,142
3,Offscreen,143,159
4,Offscreen,0,157
5,Offscreen,0,2
5,Right,3,7
5,Left,8,11
5,Offscreen,12,23
5,Left,24,28
5,Right,29,45
5,Offscreen,46,142
5,Ambig/Other,143,147
5,Offscreen,148,158
6,Offscreen,0,10
6,Ambig/Other,11,21
6,Offscreen,22,158
7,Offscreen,0,159
8,Centre,0,2
8,Offscreen,3,33
8,Left,34,38
8,Offscreen,39,151
8,Right,152,156
8,Offscreen,157,158
9,Offscreen,0,71
9,Ambig/Other,72,83
9,Offscreen,84,160
10,Offscreen,0,67
10,Right,68,70
10,Offscreen,71,157
