Trial,Direction,Start Frame,End Frame
1,Centre,0,3
1,Offscreen,4,49
1,Right,50,56
1,Left,57,59
1,Ambig/Other,60,66
1,Offscreen,67,140
1,Left,141,150
1,Right,151,155
1,Left,156,159
2,Centre,0,4
2,Left,5,16
2,Offscreen,17,44
2,Ambig/Other,45,49
2,Left,50,59
2,Right,60,66
2,Offscreen,67,158
3,Centre,0,7
3,Left,8,11
3,Right,12,19
3,Left,20,50
3,Right,51,55
3,Offscreen,56,71
3,Right,72,76
3,Offscreen,77,158
4,Ambig/Other,0,1
4,Offscreen,2,157
5,Offscreen,0,50
5,Right,51,54
5,Left,55,64
5,Right,65,74
5,Offscreen,75,136
5,Right,137,143
5,Offscreen,144,158
6,Offscreen,0,11
6,Right,12,23
6,Left,24,32
6,Offscreen,33,157
7,Offscreen,0,104
7,Right,105,114
7,Offscreen,115,159
8,Centre,0,8
8,Right,9,20
8,Offscreen,21,63
8,Left,64,68
8,Ambig/Other,69,73
8,Offscreen,74,159
9,Centre,0,2
9,Offscreen,3,11
9,Right,12,30
9,Offscreen,31,52
9,Left,53,59
9,Offscreen,60,137
9,Right,138,149
9,Offscreen,150,161
10,Ambig/Other,0,11
10,Left,12,23
10,Right,24,44
10,Ambig/Other,45,59
10,Offscreen,60,97
10,Ambig/Other,98,102
10,Offscreen,103,160
