Trial,Direction,Start Frame,End Frame
1,Offscreen,0,26
1,Right,27,41
1,Left,42,66
1,Right,63,95
1,Left,96,131
1,Ambig/Other,132,144
1,Offscreen,145,158
2,Centre,0,1
2,Offscreen,2,28
2,Right,29,79
2,Left,80,97
2,Right,98,123
2,Left,124,137
2,Right,138,154
2,Offscreen,155,158
3,Ambig/Other,0,3
3,Right,4,26
3,Left,27,54
3,Offscreen,55,159
4,Offscreen,0,129
4,Ambig/Other,130,140
4,Offscreen,141,158
5,Offscreen,0,14
5,Right,15,27
5,Left,28,33
5,Right,34,41
5,Ambig/Other,42,62
5,Offscreen,63,155
5,Right,156,159
6,Offscreen,0,12
6,Right,13,33
6,Left,34,43
6,Offscreen,44,159
7,Offscreen,0,10
7,Right,11,30
7,Offscreen,31,71
7,Right,72,87
7,Offscreen,86,108
7,Right,109,112
7,Offscreen,113,127
7,Left,128,133
7,Ambig/Other,134,146
7,Left,147,161
8,Ambig/Other,0,3
8,Right,4,26
8,Ambig/Other,27,46
8,Offscreen,47,100
8,Right,101,113
8,Left,114,123
8,Offscreen,124,161
9,Offscreen,0,3
9,Left,4,18
9,Right,19,32
9,Left,33,60
9,Right,61,70
9,Offscreen,71,142
9,Left,143,148
9,Offscreen,149,159
10,Centre,0,1
10,Offscreen,2,18
10,Left,19,35
10,Offscreen,36,90
10,Ambig/Other,91,115
10,Offscreen,116,159
