Trial,Direction,Start Frame,End Frame
1,Offscreen,0,4
1,Ambig/Other,5,11
1,Right,12,30
1,Left,31,57
1,Right,58,82
1,Left,83,127
1,Ambig/Other,128,158
2,Ambig/Other,0,14
2,Left,15,18
2,Right,19,39
2,Left,40,75
2,Right,76,87
2,Ambig/Other,88,102
2,Offscreen,103,159
3,Centre,0,8
3,Left,9,24
3,Right,25,39
3,Offscreen,40,56
3,Left,57,62
3,Right,63,66
3,Ambig/Other,67,161
4,Ambig/Other,0,6
4,Right,7,34
4,Left,35,46
4,Ambig/Other,47,53
4,Offscreen,54,110
4,Ambig/Other,111,137
4,Offscreen,138,160
5,Offscreen,0,4
5,Ambig/Other,5,23
5,Offscreen,24,50
5,Left,51,65
5,Ambig/Other,66,82
5,Offscreen,83,98
5,Right,99,107
5,Left,108,115
5,Offscreen,116,159
6,Ambig/Other,0,54
6,Right,55,65
6,Offscreen,66,107
6,Ambig/Other,108,111
6,Ambig/Other,112,159
7,Centre,0,9
7,Offscreen,10,32
7,Right,33,40
7,Offscreen,41,66
7,Left,67,78
7,Ambig/Other,79,91
7,Right,92,106
7,Offscreen,107,160
8,Ambig/Other,0,7
8,Right,8,13
8,Left,14,22
8,Offscreen,23,74
8,Left,75,85
8,Offscreen,86,158
9,Ambig/Other,0,8
9,Left,9,48
9,Offscreen,49,58
9,Right,59,69
9,Ambig/Other,70,79
9,Left,80,90
9,Offscreen,91,97
9,Right,98,102
9,Left,103,117
9,Right,118,130
9,Offscreen,131,161
10,Offscreen,0,93
10,Right,94,135
10,Left,136,160
